id,valence
60s0QWaOZ2UTzqdIHBCt3x,0.692
5u6EkQ2fcyVUevMURzfpEc,0.609
1tX2nJOWYvIFmtl8MGotgM,0.918
0cLoao2k6VaLjbvtxtYCtO,0.143
7bW6MqAdTclmHVHAOkIyPS,0.522
0ArmWFT4UE7UvgX9gHrk9t,0.936
2tDKWngdaCDdXtj1BgRa6n,0.638
0MsJNBcfNoIcf868I2MOHo,0.583
4arWTKbhANQwJ2MhiWsIoH,0.144
6ctHoWul8HmBrSWr4zMNhr,0.57
3dHZA5mbQ6AjBwn6TbbyfT,0.496
0EHR9OObFtjlhQB8wSt1m7,0.947
78zOinQvrTKJowX5ZtZGni,0.849
2kNmLJdgeTLPKUkvuSbn5g,0.556
3ETaHTY7ACGLqjhYskQ2Hj,0.0722
0EyVLHntRxBdK77NC7je1x,0.674
6xzrjdVXwejF4l0deYJejK,0.964
4FNjramiHyil63p2rtH5Vt,0.899
1u1PzGnsWKjAwSZ9Rg1kjD,0.351
2NKAzlbQGnm0gY5o1vFx7H,0.406
3cCdD3n7QdvA6EdbVlKUJd,0.698
0ueEyGG4GhWLROGgM1E9iC,0.0868
4i6YRfiLsCW30cPAbwMV40,0.789
1Oymm8ZPqQBF4iibVIWJzJ,0.547
5GYDLehClDE0qcEc9nxxVi,0.771
1Jsy4H3jKEwriFniuoC2gj,0.22
2irrKhyx2kbg7BsWnpy4Jg,0.718
26cJPMmqV3h0RdUiT59sz2,0.901
5o5yQsdZblzaqzgBFDVJTv,0.442
4N54FUNMh4t4K82Zlsbjyy,0.271
3DZ9lFH4NBO4FjRJAnQYef,0.488
6usExdf4V3J9J3mGg88oUW,0.286
07gsAWyHNZA4pUpJGDIqOj,0.66
1LdTcLdvyB4BoDTbEvrJrz,0.195
2ExUa3HNURXJvthgVwOZ1B,0.571
4wtdjSCkD55AkdCRQjNzPM,0.734
5Wj1rJnCLpMHdLaxsFtJLs,0.779
6bYefnX1x2xT86swRTUJO7,0.747
2hdTQDv5m3tPilprHChrjT,0.415
0hOA8SoraNo2ZP1amtVYnY,0.592
68vzaYiYhKcCCEzyP9GEi1,0.47
0SUClY63fA1awioMFtMYeE,0.195
4evH027aXi1Gl9nzlkYIBV,0.683
56qNZGOr3Aaj6l40lR5fck,0.0603
18XFmEasEi9CPcNccwkR7F,0.823
6XnbYoefoc1Vn0cVtHFbnB,0.398
3ojTJaonfkL96iIWa47SU3,0.565
7k9F26WpokhmRjzwxlCsCP,0.226
1YOBnjWkJalKwI08CGkIeg,0.573
1d8a3U9BIxhd1B8fRt9eRi,0.0456
2UYBujtIut2CqAkYVXqyFM,0.507
3XApt3UvXtv8y9S6DrAxCL,0.507
57zmUXHIDtFki2S3qXw1uT,0.866
3uDy62hp2EPFVrgPuBaGIi,0.969
35Myb6spNkKlRsZQcm95mP,0.716
1wOsSDOOXIx01XstsQXxp2,0.634
0Ohb2OGQiYWNVPSMprmBtM,0.962
0as4M4syYEsHvJvBUc9A2w,0.658
4BIej0swGWja46j5B7l4s1,0.118
1UqGFRXCNS5ZY6kdqjvsWV,0.187
0vBpyfpW2lARGh3AZFtWRi,0.866
4bitrbPsxwKDy7aEjtiDl5,0.429
4rTgrVh6ZnIUKRntXTKXdh,0.879
0lMwaf3vDIAfv8ZOhnXCSG,0.588
0xGcAq56TXf3RnSHkCiL9k,0.356
1GcVa4jFySlun4jLSuMhiq,0.407
5MlFsZNGRKjYZYMeLmrXYD,0.683
0cSkIGgh1uICEIcmEb1niw,0.751
4STCTQ1h0VuWfvDyhGOxkv,0.856
1L9wypqC1UW5LmHJASOzlL,0.223
1bCMeYi91d4TH2Z5tJMW0c,0.28
7hBh1mbkUmE6CBAtvBogk9,0.327
36EQeUxiJibZQ0WLICBZua,0.866
3p441l1s27Pfo8at57EwEf,0.523
7h1CHrT2QJHKrS0iWsORAM,0.79
3DK6m7It6Pw857FcQftMds,0.111
7xvfZKCsxA6chyPZ4h3Nof,0.403
3hc7PLcmuZbJGPjhIore1i,0.509
4G7eRQx5y9SZ2hQ8eJhK93,0.312
4bmmStXCNDg67gfjQQi0Rj,0.346
1x0x1OHbtMJpHIUiump6lb,0.728
57IHG8x8BiqKHanYQk92ji,0.0719
3gH3AxHKptBuYVcJilLCeR,0.877
1KDsONFxp3YtnJTaLeWFIi,0.274
5f1IZwlYAP2cXhdE5CLwKN,0.327
1Gu7aaQXQNGrmpXGWua4oB,0.887
5rjRvF0hLyGxsiMsOSVxuO,0.956
0eGrwX4kf5sV1faR5tZDp3,0.556
0eQZinXiAeZ75SRcJwuweI,0.12
1ZgRNod9aOeRFmKDcombDc,0.735
2IT3vhh6hHdLTQAphsYMB0,0.808
1dWicy59UCRwt5BrOD95p2,0.596
4sdpvOQB4AD9S2gjMW9nu1,0.28
1Hwa4ULKX8lrKMgFpgS5Ph,0.787
37Zo7uH6YnqioNu3Um2FEb,0.467
6CumenechszgN24rQMHACy,0.0432
5YhzW03ePSvbbZpBw7SdkL,0.156
0X7Uh2LtPwznQNBRG86ZGu,0.415
1kYeYUOjvEX9Vg3Tb8VIHR,0.238
25GVEHXsss7hcCkAh2dTMu,0.976
41NZyz5BiAieJsr1RSEdny,0.29
7IfGYJ5QiZMl04c6yiIVRf,0.208
4nBjbqj7nKd7Rsa7HJ3VtX,0.254
2KVrZKnaDbu9Ik9aMHe8J3,0.487
141K1xJ176S0U6PPkc4Nee,0.0754
4Brm4KwO9BIIMIQgjiCwfo,0.354
1xDGuirKDAYLxPuG5RQqT2,0.305
5njIsIfKDybWULkucnZwSf,0.912
7Do1g1b5yFUudjWKTeBvMH,0.332
4HBRT69rZ4J21xHjHswqU6,0.926
5hNOICzhequtUXSM0N7jPB,0.322
05dFNv7EMJ5O8aDe3zWp6v,0.331
08YXOwxMql0K4WcgefjG7m,0.63
0anTmnCYB55F5fehQRFUHJ,0.345
7t8rd7rn3d4mzh8b1zZaIv,0.0697
6UiOSSMvgeDLjg1WVeIiEn,0.863
24XQ0HNHW40pmjKwdUb2zM,0.928
6Xugk0xzYvSkmH77VL1GwL,0.466
3pJlTmnEjkf1u9Bualfo8X,0.713
26xG9OGAxE67z3qMnan9TA,0.805
2wupltLITWE70j9znOCrTT,0.969
2nHDsNUTQvHUj8lUJtJsr9,0.88
5KnZvjJqppjCIbGknWV64P,0.981
63bniwRWWFGoasyhX2eQHJ,0.64
6x4tKaOzfNJpEJHySoiJcs,0.892
6n9qSjMLViDzJvD95oXJ5Q,0.688
7KxBCQf83H3G7EwrIRU2gq,0.683
3HbpXD49iulKAGX7Rz4oye,0.345
5u1qHZcmLEd8c0Vw4h5JqR,0.0381
3RZMzCvYsmJ0u2ioKTOsmJ,0.967
4L2D6eUEQOdvAyjc0khFAW,0.0627
4pSaz9KWZrWLTuArpsFBcb,0.965
7jzRpu6nsY5WlBmQqinQ43,0.451
6EvPybnF8BB2p577ZmQwHt,0.938
16fL7xnQ5kqbQ4BrZSRtSj,0.616
5k1CjykkCZHW1kVgzl0Y3w,0.864
09CRMQUBWy34fr9bWMIHyP,0.147
1bNQ73KbJRMjGLjHXIeHua,0.666
1Q8gdk7lf1poFV0qFxThLV,0.753
1dVWz4VM5QkgzHLjFEKM4u,0.381
4GowMUUuujTfj9ljTcr1nc,0.936
1sjUHvDjIh4pCjAVwvbB4D,0.778
4LmlGaGTEbTGE5VngAbpA3,0.499
0ds1WWFN1p0Gaw1HE4t73T,0.385
05AJZd7wlmIzVIKQSq9JM5,0.585
4GJKUGqq1qdqQCl3uWv6Sn,0.284
2W4YmBtJn5bfj4bmULW8VJ,0.188
6A7kBEJcmpXmScwjHFvMe7,0.255
55S2PQgSMYAhgoTCcGCDfw,0.152
64CrLp7PJfzXIbkFQKHkj3,0.527
5ydL6SFmeEGkAAeh21pkes,0.564
65cjfB9WUuumYPHIDPaAsZ,0.798
03IIOmaxjRFVCunMf4SOgD,0.494
6KGW4kHrDGsDvyUTDduRuW,0.81
4puWxcg6mdE3UjcwRBIAog,0.315
4Tx16LfAMJMNOOwW60DyNg,0.075
3JhfyWKIYR3opA4DpHxP1w,0.763
65VuxgXqI6aw2I6OqlyiaB,0.0728
4px06tGvWwJYt79idyF9zJ,0.976
2kJy8XC9OIUsNocH91rHwQ,0.584
64tWwNVw8RPIY2N4IYGUBk,0.964
2UsHiSLRO9JlmGvfiNyHbY,0.691
5AyL705gj6MFzsB6YnOVkp,0.178
6WHwOn4DQiNt2awl1uGAlE,0.962
2Jr12fpsMdIM6weoUDMf9u,0.716
6NLaDWKlmoWzrmtBlW4RPZ,0.0746
0GIP0hBl6YRHU3ckMoilZX,0.0394
2BABTeUx608FA8b47bDuLK,0.319
6R4Bh3ZCrWtKhD3WG1ffZ6,0.869
2TztKFpiAdF5JOrN254Jnx,0.489
3OvO7qmeDemKrjGo7I542f,0.155
2P3SLxeQHPqh8qKB6gtJY2,0.647
507IFqPuG8mBQoKebfGG9t,0.888
3KXIqvUToKVoQfLRPoQ7vN,0.791
7mP34TJcdrJ6LSLc83UMOH,0.807
4X41l1qg1OqQvVWjkcJcrT,0.655
5t3rXofrD4r1klTMqApgmX,0.471
4QjZkif6UqzTngZhbQDUhy,0.388
2ZxTjs4EdJl4Y9YByIiNoo,0.406
5yKQTwznar5I75UyYJ9CnR,0.673
3rufmq8ly5an2Jhi1TcZmf,0.552
04bP76elDP0AcSlLQEt2oP,0.322
4fz3urE4F6oYSn4qorHy1H,0.11
6Tfz4vOltixQpJFNaFvQ1H,0.16
4qjLvvBh5ZeKEPyShKRf06,0.424
45dc3k49GvM906vSlZZizE,0.129
7ki4WQW2R2fVlXVr3K0gKE,0.403
10raF4oJVFSa5CXZayhtGw,0.463
30DdF0u0oj7G6SgdtGyGpE,0.822
1r3xSB7NKgoOJ3eYwJGxfr,0.658
03qUZSPHqcWoItJRvyDGOl,0.353
2oK80MH5DtPK8BrHUZaCHZ,0.533
3MTdHQB4Z3xH0h6Iw1mhH0,0.917
66BsYY5Wg5e1a0ISlJBOPq,0.702
4areFtLMjGt4GmO4IAbGo0,0.638
3zpYvGsOijDKzlNxI5yKxS,0.631
6o3qgtD8SgH9Me7belbF6k,0.777
1I52CTCeNTQ62wTtLGzNkd,0.785
7HT8rn9DzwGuyQ7oTTibx9,0.918
6K2bILxGCd4MsafXeUuBw3,0.568
6Yqmv7XJLCrQEauMbPGZSw,0.142
6UiDiFJUGEDzkGpZBL8IYq,0.435
1ldYu0Mf5V7fXUd8uWLObn,0.352
7cNRqg0lbiqBaGeOlA4AEU,0.92
4G3U3tth6mrz7DdGKQRz1p,0.23
7e5KPODQV0f3LclrJGAfTw,0.392
2g5wby2bzEPfzT6BmPEYkK,0.396
6ZWHoGwgcyx8Y2MSkLrikJ,0.16
4I4aQGNJ2HufloNtB65nxR,0.595
3Srp3roK2ugmrjVI1bq7Ba,0.489
11OHrZvp6AbQujkaJ5ldmL,0.661
5DeuAlTIDflXOomztXYM5D,0.767
0ivdw5hFJal1UXgol4qbV9,0.694
2mkz7LrEqofmv0PvcihXW7,0.606
43SMQMC2X2fAOuTPRnSGrG,0.432
0Hm5iU547eEQnWf4ln3DPL,0.835
3yXTSJKglvmJYPYaQeyTSm,0.165
4yUXxtKJTYgV1Rb42RL2kh,0.612
0fBEVTXwuO1Lof9OG7GQcO,0.0364
08d5Ez2xUNJMg0uLFQffp5,0.333
6iiaDMXr1eqnSEH9W4DLYC,0.973
26bL4gSULWDgdIMX0pRFrG,0.753
5H0laZ62yDUPuKvHef8niK,0.556
4P4Q5qGCyJRo6rmznZeLLS,0.692
6RRFkIPH2oyBTX43CXA8za,0.226
10rtkgWPIdvrWVSJm3dnhd,0.272
7lU4BCIUtjuyEHAlQhoDhC,0.192
0ASWlgeN7vN3SSe7TpS3ZW,0.827
0xE7MUXJk5IRCmc1nEd8c8,0.46
09eg3FGzsZQbZk8qEXhJIA,0.91
4fkUsaC0dJfHp5N1kIrZlr,0.242
69fdOJ4UKEP1mAOJZeQa8p,0.135
4up57sk978q1DVJ4NYZuxE,0.45
3700ijpUcDBdQFOVReAVJM,0.761
1oEsTcperiivR4OajnbEzc,0.364
0FGiRaJJoao1C1pNrqpxQA,0.756
11Wda6v2dXnklOQYnJANjs,0.789
5KES6ut3LAZxmgSOX0ijex,0.405
5gzYELW9RIL6wZWMIn3uiT,0.973
6axGGui1Nsq8P9xyfMvXD7,0.597
1TnbWiWlHGY9588JNVszrQ,0.804
5IChlGHDTx5f9lsd8IlwU2,0.904
6ZNw9Cnc85OeHZrjMAZJfY,0.359
0wWhBnlVxkLAGPzgJPfo93,0.0539
53h5t5KGtYjJ4DXh08JkDy,0.167
7zzbfi8fvHe6hm342GcNYl,0.669
4ftS7lkyqKQ3KtVdCnmINL,0.444
3IOfOgXbu7kTJEIEY8DqRt,0.793
6rz0dTA0PdhXImFV5EjM0w,0.151
3DXYb1QKSQn6XmClVorPqN,0.878
24KLjoa4KBgpn4XGWFiy5c,0.783
0RoVycZI77EhnRNHE52KvY,0.867
7n8FOouaabpFxOo2dvr6Nx,0.127
1PUm9AlpwYwndOY8a9OKxa,0.53
4WSXRiowSONItWHrumMAdn,0.0836
4SJ5h7zkGaTcaRdGyZ9Lyj,0.413
1YD4dyWZzfKYG2gxYI4ODa,0.408
5QO79kh1waicV47BqGRL3g,0.644
7pv80uUHfocFqfTytu1MVi,0.816
6h98Gj4DMr2LbUHm5JCZBa,0.427
6YJNcusdf5adRMqJUaRjLt,0.841
6KRLRXHCK6RjSWsJqi2sio,0.819
4HMptEInOi2qAZHRh8MCMj,0.755
5xJkY5PiDpInkBPtaArVax,0.809
1C65EMS98C2cnJZA5DEEq8,0.405
31q2AsxMNpxHNENkWKG1j0,0.624
6tSUpwyz4fg19lWxSniZYz,0.396
0aW5JH6RnfTv5cGvPS3cca,0.291
3Sl62Dyoh3wI3gLIJSypnb,0.76
1GeECVH4Msg1zLm8DExkbH,0.95
3hmJo89nc4WnC9RrmclpAS,0.536
3Ke3oXDQD5z5ILCKgjZq4O,0.505
3nGJBIGDvMvjzfNCCo0nnx,0.962
4V1eDvRf0UsLAVvuoHbUVZ,0.322
49yTRhDp8tmOK6UUTdm9FM,0.847
6krFEkUJ7fCX1EjwAalWXP,0.415
4tRBCyT1lpmvnaix4OVqdE,0.288
55WLWX71YkHt2tSucNIf1g,0.314
59VlwBBWgPPKBOg42ZVzOT,0.168
56ZrTFkANjeAMiS14njg4E,0.664
2HFfwhwTbpGq8Ebi3Nkdwv,0.908
0mmmQLIRX1dxEelrU71oSI,0.448
5FtKix007hseKxb8U5uNa2,0.08
4w3aG0qWqCQKhvsQYzX3nY,0.635
6KuQTIu1KoTTkLXKrwlLPV,0.0767
0sJxBi1dVehbTGmTt8Quof,0.0814
2XW9gTsPOX5DEOfUL5wbEj,0.354
3UmxsQ55ye9XsYKxqJsMIu,0.439
7knqz8JHSAg0GuZvPqmDZY,0.508
6Jd0jfr0YGnnruGe7kCSgC,0.435
1KrMzsZkKjnMnp76J2HtBE,0.198
6fawOM1jHIuzdiMITZAnwG,0.382
056uvAVDFOa7kv9idKPpf0,0.231
4lJNen4SMTIJMahALc3DcB,0.489
6o9xuHSJBDrbE7Ekg33bOD,0.789
5yEgRIC7vfRxVQdUlKscPE,0.871
1kxq2ByL62HX8YQQdvK3mz,0.707
1Q4JxrpEgIz1R4nczArIj2,0.307
6ldL3RYifQfZOVp5nSbCNM,0.389
0UPI1GDdq5gcZ1Ku1FFhYT,0.286
2zGrgq3FLrr0UCAasEN2bE,0.166
2QtmAMLsY1dISjH6JqgZmh,0.852
0t3BTxJpdQnnS52cz0ciw9,0.961
0La89E58TXpxr2kch6Erj4,0.0509
42sWDtFKf9tWByohvmKokH,0.0767
3kJfo2rjZ7pomVj71gH880,0.33
2tlcRUdtRaPmEyuU7J1IPs,0.632
4nIwj4uuK2egtQaym18w3p,0.696
0Tr9DflEzhwoNQBznHoiiJ,0.564
0mGat0NgAb9PoZMc978Y8O,0.747
7pgAdesi3gGZO8lAyzOTvu,0.751
28g7KyszPD1eRYOyFxtryz,0.837
5m92GlFHXwhofm4ktPgGNZ,0.926
5iPwWmrRRiAtgmm3WJ8yUm,0.706
0iSw6T9yAuJ5EVSYuhGefy,0.524
1hndT7Vnbv3P4lls7oNoMv,0.0867
4UXquZeCjJrA4WZ1tgdqMJ,0.125
5Sz09kaSzvpTC8lgm5W8Mt,0.688
3qiuqoRwEKid9xkC2V2idi,0.927
5oCujyZuzKRk3SMSNZRwnT,0.383
2IVs6SvEUWkHSTPej90b8L,0.758
3DDGhkxq3FeUorZppSgeLE,0.278
2MZNsbqNjm1hlEqMLfedEr,0.419
2jK40Z0sAfpgev1oZw0tO5,0.904
0VQ0n5gMgJLNixG8BfWBT5,0.714
51eVqdJVGJlpdJoixJeAl8,0.521
6uwERhh3sBcQ9eLcfIBmFV,0.854
4BtGch9Jl7HIehy9dK9UzR,0.652
3qT4bUD1MaWpGrTwcvguhb,0.749
4lN2okBBRNDimttONXGggW,0.751
0qfPKcKhj0JMqMFZGzeBVl,0.779
0nVVyJ2AeJjDJOjIupZP1Y,0.604
6wOijFeJpUS7749iqn6EiE,0.921
2PqIC5BMV60VAtOonidCpT,0.144
6G1xl1e4a33zPYiYKrGIWm,0.438
75l2YBpobiV4FS3rt68eYf,0.398
4LTPyRMM9hEEadSXFdrHBI,0.66
2o9nbaLx8Q0fgAmVBoWuNY,0.184
3rS4S4X5VOX8E44mKgEgf8,0.2
50w52kSN7d9p56BN37tZbD,0.83
0duhn8E0jdaMGF4bEueM2V,0.335
4Gh98r1sYlYmQjXTDvNp6c,0.434
1fckqKAI9ug7U1DgQrrOop,0.138
11HXmvGrHuD7e58RUELs8g,0.623
3DpeUhOXKCf2Qwy8KMtWSy,0.669
0GFuSxD2j9GJScA3EVTO69,0.594
1yrJG8oFvaIxQFfviZYkVs,0.448
2HuMQkNVpFIsur2cRWWQmX,0.474
1PRyPD26m9oOWr9bzgICCS,0.461
3gmDt19KzEtvJpglmntz0l,0.924
2bBUHwOa8alimc1TiXg1oY,0.15
1LV5G400jD3Ytvyv6Dlkym,0.335
2V0T2LS0pf2r3EFpOEkZFO,0.492
4Do8k1cfdA46bbbZAri5Mn,0.418
7g1Obgz4J6OPeLhh18pS7A,0.67
6QRNfbnc4aVflhrT9O8Hh3,0.762
1ouanDM2jYv4G09wUlftdO,0.729
2AeHOLJAweW35H4faobI5G,0.721
6fv8qrWMteFmNGzU6Jo0E4,0.779
1fvRueeK5f60hkG1VzoXXq,0.237
2tve82MQkxXX1WsdxpI4sk,0.825
42VAxMl44aTxwmROnF67R0,0.421
26rUU3JZ9JB9OkEuG9mb3e,0.556
0IpxRowrGhxHo1zhvmx1ks,0.206
6BaBS4r7kyJXlyHzM9uMZr,0.694
0ESdtt9cjGZUkUbaubSrv2,0.0503
2hp7dpRiX9LtIPwGU3Owe1,0.967
1WYEDcS7WGjv0rG7rmMX3o,0.537
6Wse1ZMA9PbbTqZNvz4C2t,0.347
5t6481KXSqjuPSxePTAOUc,0.907
7tUtvGeKB2V5W5ms6uBlyC,0.638
4nqxQU97VmHhn3e6a3CUWZ,0.397
2Ng8rpzfNPWHxCy91598wE,0.617
2kLGZ6ESCKHdQ0DqXoX4PS,0.562
4PNhnY4PsNPyOi5pKI8IOD,0.501
2VRJIIzbhhOGaxAhwCMfZX,0.358
6DWVZYCsEnZnpChWARti0k,0.54
5gL9eEACcAd1mxc4WTADDH,0.199
70Vbl5WZallZei6vuwVQeX,0.859
3CrhkPh9eGDxsTyDqjLcmn,0.697
1zxxbq3UMRXIo4i82MFmjY,0.307
17EtlyNTRIOeoiSXNEsNFC,0.819
2ZGY4nuOpe7rOlGgOxOgqT,0.111
7syNRB7WNZ6jwEs0cM7OaA,0.499
2y4Bm9NDAMHC6zO2bDHapP,0.709
17wprYI8y1HZRU5KV4Qa9t,0.298
7sLh5V4bXsBeJMjIJ21JiH,0.807
4rAdgUekGAwLj0AsagGEeW,0.792
0h471GDtB4GlEx7NmjefHF,0.757
2MobJagQB0dGJoRqI8OT0m,0.306
0X2YCCdZYVCcDcaOuOKYyQ,0.817
33RJ3P6wc0B0FIyDalhNTv,0.672
2cD9rMDBZYZxfMHAQj0LQX,0.707
5DyEGDNVFzXPGbXX6nJrpm,0.695
7KH0f0HijQhmCmVeiohoTe,0.539
7pMD8YXl2VTPStgP5g1EuC,0.961
3p6hnejEQYXkiTO1lAzVc0,0.562
4KhuernnobE4BzS0P1Viz8,0.568
66lhv3HVsgYVJcvOIiOIyC,0.768
3TLtCHUaiMHcQcJVGVW2p2,0.525
3JnQth6rdt2s9PXtHQMW1E,0.114
2Ynqzx5Qu9CYd1GPz0N3yg,0.247
11jB63ZyuDjarSyewXSax7,0.216
4TOG9WZOUrlvzPqipx3vab,0.0373
1divptdjcWXvF1aflfTQnw,0.557
5dym2ClDw1JdZOMeIjFdvI,0.237
4FCb4CUbFCMNRkI6lYc1zI,0.178
4sjiIpEv617LDXaidKioOI,0.695
0fSznmOUNRozMmnB2P3B6c,0.425
2KfrhuYqzBOryBUK6q0mHS,0.602
4KF1kzyeyPrgafyVm2UgQg,0.439
69MwNXryg6NT1lV7buN7U7,0.385
3WuB33T1tOMAXHZDPswaSR,0.963
2G5hAbyjLoY1wSQFbOy5PN,0.0889
5lzxyfgMsudcgN2BfMwFBI,0.433
0sKAZF2T0hD3SfEr0U0rqX,0.666
1NT76WD8FONQqTXKZ4MIRT,0.746
2KHn9Hlv8kU1DVohI0sIKP,0.841
31sPCnzgurJnFNcvcgWNjq,0.321
6nqhKb3RCCCxpdNcIzjWkn,0.863
0vT86W2Bjp4UiEer53qntN,0.172
6uSa5iCMwPr10Ftpz8w09b,0.339
1B0rnfxrjJ0dWr5PSLexno,0.182
1pdz8zR8gb1qfEBi64H1fa,0.268
6f7tLaAqMOShu2wTj35851,0.567
45hgghuFZ5vorqP3eVV9Fz,0.109
2FFfMCCSSou78JlBVGy1QG,0.309
2qtCf2n8vJCeSFTLi4iMex,0.672
2pmO8V5TEDZqsrcaxSucpj,0.212
7esMRbSzvLv60O70XLZFbc,0.0383
1pJHnQCWY4hn8ZWuNJ75jt,0.56
0j1UxPCe71DJKqPf0I4gnp,0.0762
27sTzAelgljD6Uxp88BqA3,0.164
1yg12FvibF6AbxjH7HdKea,0.332
7pJxoPMgj3KLSyBzaNSuGx,0.946
6vtYjv8dzPAc2lNSi106V9,0.22
10Ne6IUkTTy8S4bTcjA7vV,0.82
1E8ygDWmlBD7GDAtmYP7Wi,0.912
6JYU4r8D2EwW4eP7ZeUGPa,0.221
4GBNIHGSqz4ilR5CFXR6vq,0.033
05SBYEaOoRBtrAAveD4Lph,0.217
136biHnnfSnXsp9Bi2hZ4f,0.185
1OqkGDyVwSm0A2HB335knL,0.218
2Vfbf60Ujpom3Bcljzw7Dd,0.67
7lmeHLHBe4nmXzuXc0HDjk,0.503
5DcB4bQNmczM5QXxvVoWtc,0.712
2O83zX6uSMJiOTIBw9FoNM,0.467
6zrJLhslleCHby0wbUnvVy,0.859
5pdKPY4O9CHuzDDp557j4N,0.674
7AuwonvLWP0sier4YRWFYS,0.217
3m4dGRZLyjctHWKJtwXFKN,0.632
1wgnnkj4Pkl13CygliJWu3,0.506
0DSKbK2ns9Y1HLCP9IYLjf,0.638
1oFtM2fA5FHo2C8cEt8u2R,0.0741
2mu27QJOrnojzzPdLXIjbh,0.569
2HEuKwtgWSM9G8cQwAGDvy,0.668
3jFMz0YbGVNEVt6oSXJ9js,0.428
29QxWOqd1z0HynG72mAEqn,0.743
717QIXfxQT6WNgsJkWuOxy,0.256
68aTOtDa7fzVxorXBehJHu,0.264
6eT8JIrp1I3N6UfzXSnFhU,0.521
0RXSkzmFnruJEUY53i542z,0.308
1oN3E641HWBmbuGWmKkM8B,0.834
1ALL0q76OjQeBvkLmD3Tbo,0.356
2GQoZffhN5pN7EIj7Op9Fo,0.727
4rwjuEJmy7XfPcDQZmSmpX,0.318
0DGvE0SStlcRCcgmNb1WQB,0.734
6pK1qZ0N8FJeEhmij0HDYP,0.91
409z3tV5agscqNhXKkb1VE,0.38
6ZnUqz0QxsU3nZvUweyG3U,0.541
7rrDSYbroZhV6aKkbYxiuG,0.282
0ivHDucXMbjTjiU4lMIkBO,0.474
3zU9rdflI65tK4dkkNSp77,0.356
1Ly411r8fCFHE0XKl3Mwmk,0.4
3h1K1fklDB08WhVlhtk0JA,0.0599
0UC7PmiavPOlFq0rEOfN6e,0.565
0B1uuoyiPSkV2f8cAw473e,0.346
5SfdvzJpx8e8AAL4VDlRWp,0.784
6HsUP9BfhbHoGkqZViDIo1,0.732
48Tc388kIBSt80QNvcnc2k,0.648
1P46wNQLrv5uiRjsz5tklM,0.182
1xlsv3p3kUA9jhDQ5F0hmQ,0.772
7l0aNCKtv5GYRS4phvPXmN,0.142
2YGGqofjLclM7zIO7IbPqu,0.504
2HFV1Ag8fdvGqF28TVHtKp,0.74
1mmCZOQe66p6iIP4Tvw42V,0.0728
6MXJdqTuSDXkG21JHWiGko,0.153
33oDpUxmTtYWiEWUB42XXq,0.925
052C0m9kD30nZqcPWPPRqm,0.255
5RySo0AAUR0reTHSCvb6HC,0.165
4UBbZaigvacECHSJIM2MiV,0.0572
0Zze3tFRSNwL6KllmYjLgZ,0.863
6TVhP2a7ESba4pR5ePflRw,0.897
6R8ImMmDRGSMrTbB22wkQi,0.911
554dAjQxsN1DrNL3dKgp5c,0.472
1p4NOXfV2uuIScKhqXv0kn,0.664
37qEewGzwkFGJ8aGhYBXQu,0.489
29b2b96jozyD9GPCkOrVLs,0.731
0wYVNC09iLBVIqHB07Hckt,0.907
1jsMP8EuTI1Y8tQD350xwb,0.972
1AySRjZeiPeJpf487K2lwK,0.594
15xmPvsm6NqXRjhXUBeBTs,0.655
